aoi_id,city,label,label_source,prediction_probability_gated,confidence_bin,area_bin,far_bin,poi_density_bin,poi_count_bin,has_boundary_in_controlled_release,has_imagery_in_controlled_release
GBA-10-02d888c1612f,Hong Kong,gated,MCGC_model_prediction,0.9411,high,10k_25k_m2,4_8,0,0,yes,yes
GBA-10-02ddb37daec8,Hong Kong,open,MCGC_model_prediction,0.0335,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-02e026cb3253,Hong Kong,open,MCGC_model_prediction,0.1863,medium,<5k_m2,1_2,0,0,yes,yes
GBA-10-02e8195b8931,Hong Kong,open,MCGC_model_prediction,0.0057,very_high,<5k_m2,<1,0,0,yes,yes
GBA-10-02eaae212e8f,Hong Kong,gated,MCGC_model_prediction,0.7470,medium,10k_25k_m2,<1,0_0.0005,3_5,yes,yes
GBA-10-02ebc355385d,Hong Kong,open,MCGC_model_prediction,0.3911,low,<5k_m2,>=8,0,0,yes,yes
GBA-10-02ebcaa4ca58,Hong Kong,gated,MCGC_model_prediction,0.5656,low,10k_25k_m2,<1,0,0,yes,yes
GBA-10-02edfa7a8964,Hong Kong,gated,MCGC_model_prediction,0.5968,low,25k_50k_m2,2_4,0_0.0005,1_2,yes,yes
GBA-10-02eec7803b27,Hong Kong,open,MCGC_model_prediction,0.4476,low,5k_10k_m2,<1,0,0,yes,yes
GBA-10-02f674b3d224,Hong Kong,open,MCGC_model_prediction,0.0073,very_high,<5k_m2,4_8,0,0,yes,yes
GBA-10-02f764632a2b,Hong Kong,open,MCGC_model_prediction,0.1059,high,<5k_m2,<1,0,0,yes,yes
GBA-10-03000c51e0fa,Hong Kong,open,MCGC_model_prediction,0.1711,medium,<5k_m2,2_4,0.0005_0.001,1_2,yes,yes
GBA-10-030232df2253,Hong Kong,open,MCGC_model_prediction,0.3301,low,25k_50k_m2,<1,0_0.0005,1_2,yes,yes
GBA-10-0303e4c28859,Hong Kong,open,MCGC_model_prediction,0.2779,medium,<5k_m2,1_2,0,0,yes,yes
GBA-10-030430b47535,Hong Kong,gated,MCGC_model_prediction,0.9885,very_high,25k_50k_m2,1_2,0_0.0005,1_2,yes,yes
GBA-10-0316004c8ba0,Hong Kong,open,MCGC_model_prediction,0.2887,medium,<5k_m2,<1,0,0,yes,yes
GBA-10-0325e62ee306,Hong Kong,gated,MCGC_model_prediction,0.5105,low,<5k_m2,4_8,0,0,yes,yes
GBA-10-032ca59fb1e2,Hong Kong,gated,MCGC_model_prediction,0.6398,low,5k_10k_m2,1_2,0.0005_0.001,>5,yes,yes
GBA-10-0333ed42ca89,Hong Kong,open,MCGC_model_prediction,0.0089,very_high,<5k_m2,>=8,0,0,yes,yes
GBA-10-033560b0033e,Hong Kong,open,MCGC_model_prediction,0.1506,medium,<5k_m2,2_4,0,0,yes,yes
GBA-10-0340144e9775,Hong Kong,open,MCGC_model_prediction,0.0634,high,<5k_m2,>=8,0,0,yes,yes
GBA-10-0342bf86bd3d,Hong Kong,open,MCGC_model_prediction,0.0136,very_high,<5k_m2,<1,0,0,yes,yes
